var1,var2,pearson_r
x_39,y,0.86507209
x_21,x_22,0.86072013
x_10,x_11,0.86041310
x_24,x_27,0.84713841
x_24,x_30,0.84296442
x_20,x_21,0.79707272
x_11,x_12,0.79580346
x_38,x_39,0.78597400
x_11,y,0.78154207
x_21,y,0.75144486
x_3,x_9,0.74584710
x_37,x_39,0.74429416
x_17,x_18,0.70960572
x_35,x_39,0.70475204
x_32,x_33,0.70274197
x_36,x_39,0.69979018
x_15,x_18,0.69236024
x_7,x_9,0.67241257
x_10,y,0.66361000
x_24,x_39,0.66038029
x_12,y,0.65962699
x_9,y,0.65739492
x_38,y,0.65548675
x_32,y,0.64999880
x_37,y,0.64621211
x_24,y,0.63750681
x_36,y,0.63514988
x_20,y,0.63294453
x_3,y,0.63029293
x_6,x_9,0.63016755
x_35,y,0.63002693
x_17,y,0.62960764
x_22,y,0.62878154
x_34,y,0.62280227
x_15,y,0.62172351
x_6,y,0.62052914
x_11,x_39,0.61329663
x_7,y,0.61093621
x_21,x_39,0.60520652
