var1,var2,pearson_r
x_39,y,0.94477297
x_10,x_11,0.92049264
x_21,x_22,0.91730400
x_24,x_27,0.90300320
x_24,x_30,0.89911852
x_11,y,0.89562974
x_20,x_21,0.88751108
x_21,y,0.88679928
x_11,x_12,0.88611008
x_38,x_39,0.88315205
x_37,x_39,0.85820905
x_3,x_9,0.85382836
x_36,x_39,0.83974749
x_35,x_39,0.83581666
x_9,y,0.82601701
x_38,y,0.82190747
x_24,x_39,0.82092892
x_10,y,0.81903634
x_17,x_18,0.81814573
x_21,x_39,0.81730110
x_32,y,0.81564742
x_7,x_9,0.81517632
x_11,x_39,0.81510072
x_12,y,0.81448429
x_37,y,0.81224073
x_15,x_18,0.81197988
x_24,y,0.81055024
x_36,y,0.80660981
x_20,y,0.80659842
x_3,y,0.80606176
x_22,y,0.80431466
x_15,y,0.80354868
x_35,y,0.80237106
x_17,y,0.80105484
x_32,x_33,0.79959809
x_7,y,0.79829107
x_34,y,0.79550282
x_6,y,0.79128098
x_6,x_9,0.78329212
x_21,x_24,0.77713464
x_11,x_24,0.77345002
x_11,x_21,0.77112741
x_30,x_39,0.74990535
x_3,x_39,0.74989713
x_12,x_39,0.74922979
x_15,x_39,0.74787524
x_32,x_39,0.74739391
x_16,x_39,0.74727648
x_20,x_39,0.74719308
x_27,x_39,0.74702836
x_7,x_39,0.74633561
x_31,x_39,0.74598137
x_34,x_39,0.74482980
x_6,x_39,0.74391339
x_5,x_39,0.74319204
x_10,x_39,0.74278856
x_30,y,0.74219370
x_9,x_39,0.74127626
x_17,x_39,0.74075245
x_18,y,0.74022046
x_22,x_39,0.73962373
x_27,y,0.73961121
x_16,y,0.73792527
x_31,y,0.73168677
x_5,y,0.73144366
x_7,x_24,0.71248152
x_21,x_27,0.71193532
x_3,x_21,0.71097071
x_12,x_21,0.71084417
x_12,x_24,0.71028795
x_21,x_32,0.70973578
x_17,x_24,0.70861716
x_15,x_24,0.70857315
x_7,x_21,0.70829369
x_24,x_35,0.70829189
x_7,x_11,0.70798102
x_24,x_38,0.70790690
x_16,x_21,0.70776502
x_16,x_24,0.70744058
x_20,x_24,0.70741653
x_5,x_24,0.70737793
x_9,x_21,0.70726639
x_3,x_24,0.70611778
x_22,x_24,0.70609279
x_15,x_21,0.70608773
x_6,x_21,0.70596038
x_21,x_31,0.70590272
x_11,x_27,0.70584537
x_21,x_30,0.70575695
x_24,x_36,0.70548916
x_21,x_36,0.70540251
x_11,x_32,0.70510749
x_11,x_20,0.70501972
x_24,x_32,0.70499018
x_24,x_34,0.70478507
x_24,x_31,0.70474654
x_11,x_31,0.70470930
x_21,x_37,0.70468914
x_17,x_21,0.70466142
x_10,x_24,0.70444877
x_21,x_38,0.70441307
x_11,x_30,0.70407068
x_24,x_37,0.70369110
x_11,x_38,0.70364104
x_6,x_24,0.70348304
x_11,x_15,0.70276058
x_11,x_16,0.70219032
x_6,x_11,0.70204121
