,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,y
x_1,1.00000000,0.01141040,-0.00556342,-0.01080923,0.00502543,-0.02818910,-0.00517956,-0.01276599,-0.02039410,0.01790209,0.01969032,0.01229800,0.02365218,-0.02034512,0.00647534,0.01780164,-0.01473567,-0.02232886,-0.00660815,0.00946656,-0.00423076,-0.01843127,0.00754267,-0.00171994,-0.00441504,-0.04753084,-0.00868500,-0.02469005,-0.02555498,0.00878441,-0.01399073,0.00023451,0.00775489,0.00144855,0.00733125,-0.01875359,0.01202927,-0.02128646,-0.00857201,-0.00579629
x_2,0.01141040,1.00000000,0.00097610,0.00213286,0.00994592,0.01532923,-0.00963010,-0.02073521,-0.00377900,0.01787647,0.01326159,0.00316034,-0.00922002,-0.00676457,-0.01894028,0.01810267,0.00430964,-0.01855828,0.00348889,0.00371951,-0.00034717,-0.00413817,0.01392660,0.01340187,-0.02088886,0.00830605,0.02762775,0.03735062,-0.01815492,0.00088433,0.00966468,-0.02268845,-0.01222286,0.02974702,-0.01448359,0.02224287,0.00309255,-0.01726665,-0.00169375,-0.00719710
x_3,-0.00556342,0.00097610,1.00000000,0.01356902,0.34280610,0.27916355,0.29810430,-0.01205701,0.70120539,0.26657412,0.33565467,0.28663644,0.00538693,0.00407017,0.29357577,0.33755163,0.29230579,0.19626104,0.00704743,0.31100505,0.36662624,0.29231554,-0.01084022,0.40326226,0.02034298,-0.02606410,0.34235485,0.01224415,0.02842255,0.34111580,0.36290708,0.29564224,0.13334779,0.31260614,0.29638824,0.29499289,0.27230548,0.30008050,0.41666291,0.55516138
x_4,-0.01080923,0.00213286,0.01356902,1.00000000,-0.00865305,-0.02058826,-0.00140333,-0.00402059,0.00387997,-0.02483999,-0.01912134,-0.00171586,-0.02659952,-0.00073701,0.01685195,-0.04366525,0.00257307,0.03546490,0.01309018,-0.00214329,-0.00078320,0.00639113,0.02166769,-0.00153445,-0.01397677,-0.01822277,-0.00549532,0.00357423,-0.00100433,0.00281519,-0.01899250,0.00700313,0.01754717,0.00030588,0.01026321,-0.00288033,-0.02333106,0.02480753,-0.00007060,0.00642501
x_5,0.00502543,0.00994592,0.34280610,-0.00865305,1.00000000,0.32621336,0.37719007,0.00194986,-0.00685320,0.35862614,0.43214176,0.35559089,0.02340322,0.00347652,0.33848469,0.38503157,0.34825745,0.23329897,-0.01404446,0.34214036,0.41804657,0.34667525,-0.02184545,0.47439660,0.02962207,-0.01857649,0.40642651,0.01123929,0.02403475,0.40161927,0.40452499,0.34660386,0.15705977,0.33464659,0.35368557,0.36150661,0.35066379,0.34211798,0.50593609,0.47106569
x_6,-0.02818910,0.01532923,0.27916355,-0.02058826,0.32621336,1.00000000,0.30692779,-0.00991575,0.55999882,0.29657665,0.35181751,0.28472053,0.04568323,-0.01039008,0.29298527,0.35744627,0.29217778,0.18752899,-0.02922997,0.30567831,0.36694443,0.30416118,0.03512972,0.39560194,0.01517058,-0.00874582,0.34443159,-0.01383110,-0.00465020,0.32125610,0.37705620,0.28774639,0.11651151,0.29984329,0.31427105,0.28019510,0.30079653,0.26261994,0.41511319,0.52159150
x_7,-0.00517956,-0.00963010,0.29810430,-0.00140333,0.37719007,0.30692779,1.00000000,0.02054404,0.61251643,0.28709449,0.36321267,0.31800337,0.02892612,0.00188431,0.26647124,0.35776074,0.28091696,0.15807477,0.00475212,0.29263383,0.35310968,0.28996945,0.01119967,0.43158606,0.02156124,-0.03385547,0.36911197,-0.00310414,0.00274586,0.36609474,0.38347353,0.29256550,0.11937536,0.31312564,0.29094168,0.30219037,0.30273757,0.27538192,0.42172101,0.52402123
x_8,-0.01276599,-0.02073521,-0.01205701,-0.00402059,0.00194986,-0.00991575,0.02054404,1.00000000,0.00037525,0.00677299,0.00746430,0.00996595,0.00467314,0.02253229,-0.01301261,0.00207753,0.02622086,0.01124225,0.00631315,0.00608329,0.02798982,0.03787329,0.03317102,0.00136264,0.00599666,0.00571862,0.00837094,0.00417689,-0.00565647,-0.00244064,0.02251320,0.01968300,0.00593391,0.01379011,-0.00939298,-0.01271150,-0.02357599,0.02345870,-0.00608051,0.01005433
x_9,-0.02039410,-0.00377900,0.70120539,0.00387997,-0.00685320,0.55999882,0.61251643,0.00037525,1.00000000,0.24040401,0.30322873,0.26159623,0.02288815,-0.00248445,0.25329661,0.32974510,0.25707234,0.15271652,0.00273734,0.28322409,0.32935482,0.26293088,0.02609575,0.37270411,0.00963759,-0.02187761,0.31771550,-0.00900844,0.00239838,0.31135788,0.35428401,0.26206857,0.10642764,0.29514816,0.26834745,0.25538665,0.25354977,0.24760207,0.36749809,0.57386367
x_10,0.01790209,0.01787647,0.26657412,-0.02483999,0.35862614,0.29657665,0.28709449,0.00677299,0.24040401,1.00000000,0.83846751,0.31140797,0.03659763,-0.01053721,0.28882162,0.33683877,0.27919073,0.17465144,-0.02831386,0.27791518,0.33705334,0.27587743,0.00669494,0.41899939,0.00443505,-0.02389754,0.34427568,-0.02676895,0.00258583,0.36289797,0.35438872,0.28915690,0.12598480,0.29328948,0.26455491,0.29743787,0.30397543,0.26352803,0.40284968,0.58485187
x_11,0.01969032,0.01326159,0.33565467,-0.01912134,0.43214176,0.35181751,0.36321267,0.00746430,0.30322873,0.83846751,1.00000000,0.75691514,0.02946906,0.00701986,0.34349219,0.41732376,0.35075712,0.21533550,-0.01918032,0.35428285,0.43359816,0.35477755,-0.00504467,0.50534026,0.02642914,-0.02729291,0.42160368,-0.01197938,0.00108382,0.43207808,0.45017461,0.34326658,0.13624395,0.36229078,0.34751157,0.36343008,0.34676959,0.32971190,0.49472584,0.71356078
x_12,0.01229800,0.00316034,0.28663644,-0.00171586,0.35559089,0.28472053,0.31800337,0.00996595,0.26159623,0.31140797,0.75691514,1.00000000,0.01137166,0.01308328,0.27439353,0.34602512,0.30602485,0.19009306,-0.00652849,0.31475007,0.38012045,0.30633517,-0.01083605,0.40628251,0.03409924,-0.01759215,0.34474306,0.02249991,-0.00417138,0.34116007,0.38151215,0.27505339,0.10452370,0.30836030,0.31700177,0.30498191,0.26654126,0.28396587,0.41859946,0.58342766
x_13,0.02365218,-0.00922002,0.00538693,-0.02659952,0.02340322,0.04568323,0.02892612,0.00467314,0.02288815,0.03659763,0.02946906,0.01137166,1.00000000,-0.01460487,-0.00648469,0.02456391,0.00314472,-0.01907370,0.00717859,0.00948988,0.02178535,0.02245647,-0.00402488,0.01859263,0.01864615,0.00983254,0.00000678,0.00070552,-0.01083916,0.02803279,0.01011840,0.01490422,0.02027637,0.03442940,0.00757666,0.01760157,0.01386285,0.00675880,0.01715178,0.02578734
x_14,-0.02034512,-0.00676457,0.00407017,-0.00073701,0.00347652,-0.01039008,0.00188431,0.02253229,-0.00248445,-0.01053721,0.00701986,0.01308328,-0.01460487,1.00000000,0.02648098,0.02032697,0.00017525,0.00820758,-0.00233111,-0.01322588,-0.01078295,-0.01426054,-0.02644275,-0.00097401,-0.02644571,-0.01299767,0.01654020,0.00074823,0.01819674,-0.01503040,-0.00737634,0.00799253,0.02583898,0.03177054,-0.00411139,0.02409728,-0.00529189,-0.00723246,0.00101918,0.00698204
