,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,y
x_1,1.00000000,0.00131060,-0.01808965,0.00140478,-0.01692832,-0.03733169,-0.02158026,0.01009538,-0.02664487,-0.01690462,-0.01789625,-0.01999060,-0.00344754,-0.00660582,-0.01776378,-0.02006842,-0.02195170,-0.01788041,0.00534829,-0.01455304,-0.02657090,-0.03143488,0.01458031,-0.02218650,0.00920339,-0.01979577,-0.01802705,-0.00939193,-0.01843589,-0.01946455,-0.02297874,-0.02616271,-0.02101244,-0.02463557,-0.01825675,-0.02906775,-0.02205334,-0.01695000,-0.02487320,-0.02645664
x_2,0.00131060,1.00000000,0.00519457,0.00967842,0.01015467,0.01349525,-0.00142129,0.01079705,0.00281129,0.01108971,0.01308117,0.01228086,-0.00672434,0.00950862,0.00838616,0.01106341,0.00135138,-0.00070259,0.00975335,0.01969353,0.01359918,0.00472538,0.01119410,0.00882019,-0.02423858,-0.01519632,0.00676781,0.01707260,0.00712168,0.00887608,0.01676232,-0.00184663,-0.00632748,0.01549921,0.00686017,0.00687555,0.01402186,0.00396289,0.00935454,0.00785097
x_3,-0.01808965,0.00519457,1.00000000,-0.00598694,0.63650539,0.64310818,0.64949633,-0.01761533,0.85382836,0.64203607,0.69850653,0.63631440,0.01899655,0.01245957,0.64171975,0.63874422,0.63921332,0.55958149,-0.00854475,0.64934798,0.71097071,0.64464905,-0.00472203,0.70611778,0.00776791,-0.00827365,0.64386028,-0.00018023,0.01187820,0.64555731,0.64518497,0.64706279,0.48275243,0.64549433,0.64389036,0.64915023,0.64371257,0.64535829,0.74989713,0.80606176
x_4,0.00140478,0.00967842,-0.00598694,1.00000000,-0.00032503,-0.01282598,-0.01507941,0.00191930,-0.01470742,-0.01014606,-0.00640123,-0.00115372,0.00594492,-0.00321418,0.00146211,-0.01824470,-0.01233065,0.00311008,0.00070497,-0.00270287,-0.00479921,-0.00512944,0.01163979,-0.00731336,-0.01954475,0.00568583,-0.00088860,0.00733603,-0.00108403,-0.01363992,-0.01033297,0.00472021,0.00621886,-0.00668271,-0.01440197,-0.00674269,-0.00447272,-0.00617429,-0.00956918,-0.00650435
x_5,-0.01692832,0.01015467,0.63650539,-0.00032503,1.00000000,0.63285941,0.64216616,-0.01087023,0.45614707,0.63986656,0.70077750,0.64232904,0.01778413,0.00646636,0.63908894,0.64382335,0.63285835,0.55065004,-0.00117513,0.63755955,0.69716761,0.63125482,0.00242791,0.70737793,0.00705136,-0.00593725,0.64193722,-0.00156183,0.02540554,0.64735277,0.63785786,0.64204463,0.47895118,0.63418625,0.63794434,0.63479100,0.63920866,0.64313780,0.74319204,0.73144366
x_6,-0.03733169,0.01349525,0.64310818,-0.01282598,0.63285941,1.00000000,0.64439895,-0.00829072,0.78329212,0.64106414,0.70204121,0.64246124,0.01978507,0.00773561,0.64170030,0.64370604,0.64022818,0.55723989,-0.00973590,0.64721858,0.70596038,0.63830953,0.01388381,0.70348304,0.00720523,-0.00318786,0.64076989,-0.00440951,0.01439195,0.64119906,0.64241004,0.64373642,0.48206658,0.64306858,0.64445568,0.64176014,0.64016136,0.63591933,0.74391339,0.79128098
x_7,-0.02158026,-0.00142129,0.64949633,-0.01507941,0.64216616,0.64439895,1.00000000,0.00084817,0.81517632,0.64535550,0.70798102,0.65063671,0.02216846,0.00528375,0.64035615,0.64393044,0.64679904,0.56142934,-0.00490780,0.64477105,0.70829369,0.64349003,0.00890420,0.71248152,0.00709822,-0.00588850,0.64764308,-0.00906391,0.01716141,0.65151229,0.64915144,0.64513125,0.47716796,0.64251994,0.63558658,0.64929304,0.63980327,0.64471410,0.74633561,0.79829107
x_8,0.01009538,0.01079705,-0.01761533,0.00191930,-0.01087023,-0.00829072,0.00084817,1.00000000,-0.00715099,0.00356968,-0.00525478,-0.01031062,-0.00620988,-0.00599641,-0.01011198,-0.00721172,-0.01171644,-0.01048836,0.00640956,-0.00128933,-0.00176804,-0.00470388,0.01284762,-0.01237568,-0.00586142,-0.01075166,-0.01138852,0.00919305,0.00539891,-0.01082440,-0.00405968,-0.00567330,-0.00306282,-0.00468316,-0.01984255,-0.00998507,-0.01367141,-0.00729929,-0.01428039,-0.00882759
x_9,-0.02664487,0.00281129,0.85382836,-0.01470742,0.45614707,0.78329212,0.81517632,-0.00715099,1.00000000,0.63827761,0.69654799,0.63620945,0.02085372,0.00697011,0.63612390,0.63488961,0.64046330,0.55854350,-0.01033330,0.64641327,0.70726639,0.64101970,0.00515735,0.70035482,0.00663452,-0.00431338,0.63821414,-0.00524918,0.00739452,0.63980059,0.64337340,0.64040997,0.47695908,0.64331513,0.63581012,0.64661114,0.63601710,0.63582457,0.74127626,0.82601701
x_10,-0.01690462,0.01108971,0.64203607,-0.01014606,0.63986656,0.64106414,0.64535550,0.00356968,0.63827761,1.00000000,0.92049264,0.65075884,0.02890558,0.00126076,0.63977539,0.63889489,0.63344932,0.55285433,-0.01151731,0.63930011,0.70047382,0.63532101,-0.00320822,0.70444877,-0.00146769,0.00074237,0.64312583,-0.00580467,0.01167569,0.64146203,0.63966202,0.64675009,0.48315752,0.63824868,0.63526976,0.64096124,0.63924617,0.64049404,0.74278856,0.81903634
