particion_a,particion_b,nodos_union,aristas_union,nodos_comunes,aristas_comunes,union_bfs_count,union_dfs_count,imagen
B16C,B2C,22,21,1,0,22,22,paso_08_union_B16C_B2C.png
B16C,B4C,1,0,1,0,1,1,paso_08_union_B16C_B4C.png
B16C,B8C,1,0,1,0,1,1,paso_08_union_B16C_B8C.png
B16C,W16C,1,0,1,0,1,1,paso_08_union_B16C_W16C.png
B16C,W2C,22,21,1,0,22,22,paso_08_union_B16C_W2C.png
B16C,W4C,1,0,1,0,1,1,paso_08_union_B16C_W4C.png
B16C,W8C,1,0,1,0,1,1,paso_08_union_B16C_W8C.png
B16C,df_original,25,24,1,0,25,25,paso_08_union_B16C_df_original.png
B2C,B4C,22,21,1,0,22,22,paso_08_union_B2C_B4C.png
B2C,B8C,22,21,1,0,22,22,paso_08_union_B2C_B8C.png
B2C,W16C,22,21,1,0,22,22,paso_08_union_B2C_W16C.png
B2C,W2C,23,23,21,19,23,23,paso_08_union_B2C_W2C.png
B2C,W4C,22,21,1,0,22,22,paso_08_union_B2C_W4C.png
B2C,W8C,22,21,1,0,22,22,paso_08_union_B2C_W8C.png
B2C,df_original,25,25,22,20,25,25,paso_08_union_B2C_df_original.png
B4C,B8C,1,0,1,0,1,1,paso_08_union_B4C_B8C.png
B4C,W16C,1,0,1,0,1,1,paso_08_union_B4C_W16C.png
B4C,W2C,22,21,1,0,22,22,paso_08_union_B4C_W2C.png
B4C,W4C,1,0,1,0,1,1,paso_08_union_B4C_W4C.png
B4C,W8C,1,0,1,0,1,1,paso_08_union_B4C_W8C.png
B4C,df_original,25,24,1,0,25,25,paso_08_union_B4C_df_original.png
B8C,W16C,1,0,1,0,1,1,paso_08_union_B8C_W16C.png
B8C,W2C,22,21,1,0,22,22,paso_08_union_B8C_W2C.png
B8C,W4C,1,0,1,0,1,1,paso_08_union_B8C_W4C.png
B8C,W8C,1,0,1,0,1,1,paso_08_union_B8C_W8C.png
B8C,df_original,25,24,1,0,25,25,paso_08_union_B8C_df_original.png
W16C,W2C,22,21,1,0,22,22,paso_08_union_W16C_W2C.png
W16C,W4C,1,0,1,0,1,1,paso_08_union_W16C_W4C.png
W16C,W8C,1,0,1,0,1,1,paso_08_union_W16C_W8C.png
W16C,df_original,25,24,1,0,25,25,paso_08_union_W16C_df_original.png
W2C,W4C,22,21,1,0,22,22,paso_08_union_W2C_W4C.png
W2C,W8C,22,21,1,0,22,22,paso_08_union_W2C_W8C.png
W2C,df_original,26,27,21,18,26,26,paso_08_union_W2C_df_original.png
W4C,W8C,1,0,1,0,1,1,paso_08_union_W4C_W8C.png
W4C,df_original,25,24,1,0,25,25,paso_08_union_W4C_df_original.png
W8C,df_original,25,24,1,0,25,25,paso_08_union_W8C_df_original.png
GLOBAL,GLOBAL,26,27,,,,,paso_08_union_global.png
